epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,667.399,2.09891,2.01444,2.43361,0.54834,0.52632,0.45612,0.20293,2.37073,2.55827,2.74165,0.0015776,0.0015776,0.0015776
66,677.481,2.17235,2.08619,2.48297,0.18364,0.59214,0.27944,0.11486,2.52144,4.57671,3.31021,0.001571,0.001571,0.001571
67,687.899,1.89899,1.80654,2.2882,0.38909,0.57895,0.4535,0.25165,2.23176,4.72494,2.98401,0.0015644,0.0015644,0.0015644
68,698.897,1.8354,1.90486,2.27778,0.91633,0.57664,0.61911,0.37932,1.91298,2.76685,2.70803,0.0015578,0.0015578,0.0015578
69,709.579,2.01094,1.91241,2.2833,0.91633,0.57664,0.61911,0.37932,1.91298,2.76685,2.70803,0.0015512,0.0015512,0.0015512
70,720.625,1.89039,1.87033,2.32367,0.89301,0.57895,0.59994,0.35806,1.86275,2.20303,2.60201,0.0015446,0.0015446,0.0015446
71,731.279,1.91283,1.81963,2.28265,0.73276,0.47368,0.5212,0.26548,2.11537,2.37153,2.81254,0.001538,0.001538,0.001538
72,742.072,1.90451,1.84505,2.28949,0.82101,0.36842,0.49431,0.28212,1.8882,2.31646,2.79634,0.0015314,0.0015314,0.0015314
73,752.914,1.93443,1.79296,2.2585,0.82101,0.36842,0.49431,0.28212,1.8882,2.31646,2.79634,0.0015248,0.0015248,0.0015248
74,763.686,1.92408,1.72564,2.20385,0.79763,0.57895,0.65048,0.35725,1.77875,2.19802,2.80648,0.0015182,0.0015182,0.0015182
75,774.442,1.89738,1.8256,2.25152,0.67251,0.64911,0.6508,0.39293,1.70044,2.02834,2.62222,0.0015116,0.0015116,0.0015116
76,785.708,1.82128,1.75919,2.18721,0.74751,0.46791,0.57212,0.3417,1.90724,2.22317,2.88405,0.001505,0.001505,0.001505
77,796.389,1.98548,1.74294,2.24178,0.74751,0.46791,0.57212,0.3417,1.90724,2.22317,2.88405,0.0014984,0.0014984,0.0014984
78,807.138,1.89955,1.66619,2.21331,0.62849,0.36842,0.53009,0.29942,1.96922,2.46911,3.04196,0.0014918,0.0014918,0.0014918
79,817.885,1.81821,1.69502,2.2167,0.3693,0.57895,0.50139,0.2577,1.84432,3.01583,3.15813,0.0014852,0.0014852,0.0014852
80,828.823,1.78913,1.59651,2.05127,0.32174,0.57895,0.37659,0.20089,1.95671,3.50572,3.32237,0.0014786,0.0014786,0.0014786
81,839.405,1.88104,1.70923,2.27225,0.32174,0.57895,0.37659,0.20089,1.95671,3.50572,3.32237,0.001472,0.001472,0.001472
82,850.115,1.83731,1.74515,2.21818,0.2577,0.84211,0.2662,0.13873,1.91799,3.26199,3.05878,0.0014654,0.0014654,0.0014654
83,860.717,1.87523,1.60219,2.07411,0.25344,0.52632,0.22748,0.08936,2.3734,2.50925,3.14091,0.0014588,0.0014588,0.0014588
84,871.276,1.91822,1.72602,2.12959,0.70381,0.57895,0.65348,0.30176,2.08061,1.7566,2.65934,0.0014522,0.0014522,0.0014522
85,881.944,1.89158,1.84592,2.24436,0.70381,0.57895,0.65348,0.30176,2.08061,1.7566,2.65934,0.0014456,0.0014456,0.0014456
86,892.74,1.75334,1.63464,2.1439,1,0.51985,0.64659,0.39766,1.63174,1.68387,2.52562,0.001439,0.001439,0.001439
87,903.521,1.81895,1.74032,2.12199,0.98814,0.47368,0.62433,0.3828,1.63614,1.9029,2.4962,0.0014324,0.0014324,0.0014324
88,914.071,1.75096,1.60262,2.10515,0.9192,0.42105,0.58011,0.37022,1.69789,2.22821,2.46205,0.0014258,0.0014258,0.0014258
89,924.562,1.69221,1.61412,2.0729,0.9192,0.42105,0.58011,0.37022,1.69789,2.22821,2.46205,0.0014192,0.0014192,0.0014192
90,935.249,1.73591,1.6234,2.1294,0.78033,0.42105,0.57219,0.33547,1.79519,2.56036,2.49897,0.0014126,0.0014126,0.0014126
91,946.022,1.67827,1.50172,2.00396,0.83431,0.57895,0.6604,0.4229,1.64293,2.40543,2.36203,0.001406,0.001406,0.001406
92,956.862,1.77801,1.68327,2.12986,0.97603,0.57895,0.7025,0.45821,1.54661,2.24076,2.26006,0.0013994,0.0013994,0.0013994
93,967.583,1.69954,1.45989,2.0869,0.97603,0.57895,0.7025,0.45821,1.54661,2.24076,2.26006,0.0013928,0.0013928,0.0013928
94,978.388,1.69124,1.50406,2.02598,0.91301,0.57895,0.68952,0.48072,1.54002,2.25924,2.23409,0.0013862,0.0013862,0.0013862
95,988.923,1.64658,1.40994,1.90182,0.8069,0.44104,0.54267,0.32199,1.76399,3.40213,2.45081,0.0013796,0.0013796,0.0013796
96,999.758,1.77488,1.52962,2.05718,0.51522,0.39245,0.46699,0.30904,1.73784,4.19914,2.44596,0.001373,0.001373,0.001373
97,1010.63,1.80608,1.59914,2.10516,0.51522,0.39245,0.46699,0.30904,1.73784,4.19914,2.44596,0.0013664,0.0013664,0.0013664
98,1022.94,1.57169,1.39307,1.98642,0.79829,0.6253,0.6617,0.44374,1.54016,2.79351,2.28454,0.0013598,0.0013598,0.0013598
99,1588.37,1.6215,1.62385,2.03452,0.96036,0.57895,0.70746,0.49357,1.53082,1.92025,2.23673,0.0013532,0.0013532,0.0013532
100,1597.93,1.53368,1.39493,1.87498,0.96803,0.52632,0.68121,0.49999,1.4723,1.73935,2.18643,0.0013466,0.0013466,0.0013466
101,1608,1.65956,1.47462,1.95998,0.96803,0.52632,0.68121,0.49999,1.4723,1.73935,2.18643,0.00134,0.00134,0.00134
102,1618.44,1.69143,1.62564,2.11117,0.68124,0.45097,0.63387,0.39254,1.68016,1.88091,2.26585,0.0013334,0.0013334,0.0013334
103,1628.79,1.60491,1.49984,1.86863,0.58215,0.78947,0.70598,0.43292,1.6277,1.58178,2.21699,0.0013268,0.0013268,0.0013268
104,1639.51,1.48452,1.41491,1.85022,0.8445,0.73684,0.81108,0.5164,1.50042,1.17654,2.07397,0.0013202,0.0013202,0.0013202
105,1650.35,1.68042,1.46866,1.96312,0.8445,0.73684,0.81108,0.5164,1.50042,1.17654,2.07397,0.0013136,0.0013136,0.0013136
106,1661.86,1.61217,1.5128,1.88427,0.85251,0.68421,0.79605,0.50762,1.52073,1.3539,2.12302,0.001307,0.001307,0.001307
107,1672.8,1.62252,1.48654,1.97036,0.973,0.57895,0.73541,0.49369,1.52324,1.43152,2.11443,0.0013004,0.0013004,0.0013004
108,1683.58,1.45275,1.27401,1.76042,0.78811,0.68421,0.78297,0.49267,1.55735,1.31025,2.14319,0.0012938,0.0012938,0.0012938
109,1695.16,1.47825,1.42087,1.94598,0.78811,0.68421,0.78297,0.49267,1.55735,1.31025,2.14319,0.0012872,0.0012872,0.0012872
110,1706.29,1.53313,1.44733,1.91791,0.86464,0.67301,0.76975,0.45664,1.67772,1.40859,2.28097,0.0012806,0.0012806,0.0012806
111,1716.76,1.476,1.27582,1.81206,0.74569,0.63158,0.74194,0.45794,1.56095,1.38686,2.24034,0.001274,0.001274,0.001274
112,1727.28,1.47982,1.30662,1.96955,0.70355,0.78947,0.77568,0.48701,1.45381,1.4172,2.18223,0.0012674,0.0012674,0.0012674
113,1737.57,1.45099,1.30915,1.82144,0.70355,0.78947,0.77568,0.48701,1.45381,1.4172,2.18223,0.0012608,0.0012608,0.0012608
114,1748.87,1.66058,1.50635,1.96216,0.76016,0.63158,0.77073,0.44743,1.65141,1.47376,2.21528,0.0012542,0.0012542,0.0012542
115,1759.76,1.4831,1.25178,1.78228,0.60441,0.64377,0.73219,0.39968,1.61802,1.53219,2.18406,0.0012476,0.0012476,0.0012476
116,1769.68,1.42789,1.37851,1.81892,0.81004,0.73684,0.83054,0.53921,1.38195,1.40447,2.03402,0.001241,0.001241,0.001241
117,1779.87,1.41693,1.30636,1.7191,0.81004,0.73684,0.83054,0.53921,1.38195,1.40447,2.03402,0.0012344,0.0012344,0.0012344
118,1789.96,1.53588,1.36075,1.84294,0.68866,0.84211,0.86807,0.55855,1.43921,1.3277,2.05397,0.0012278,0.0012278,0.0012278
119,1799.61,1.40412,1.19494,1.71676,0.65896,0.84211,0.74084,0.43874,1.53148,1.41543,2.07759,0.0012212,0.0012212,0.0012212
120,1809.4,1.41971,1.249,1.82945,0.52745,0.88151,0.64648,0.35294,1.57597,1.5197,2.12691,0.0012146,0.0012146,0.0012146
121,1819.15,1.37509,1.25697,1.70497,0.52745,0.88151,0.64648,0.35294,1.57597,1.5197,2.12691,0.001208,0.001208,0.001208
122,1828.72,1.43407,1.34773,1.87165,0.67627,0.68421,0.75089,0.4782,1.47547,1.40655,2.02718,0.0012014,0.0012014,0.0012014
123,1838.41,1.30848,1.24827,1.70529,0.95145,0.63158,0.83496,0.55335,1.44349,1.26276,2.00536,0.0011948,0.0011948,0.0011948
124,1848.03,1.43577,1.2995,1.817,0.98027,0.68421,0.81345,0.51166,1.54704,1.20154,2.07185,0.0011882,0.0011882,0.0011882
125,1857.47,1.48869,1.25796,1.90304,0.98027,0.68421,0.81345,0.51166,1.54704,1.20154,2.07185,0.0011816,0.0011816,0.0011816
126,1866.97,1.36569,1.28434,1.83378,0.92201,0.68421,0.81964,0.51281,1.59463,1.28214,2.06819,0.001175,0.001175,0.001175
127,1876.63,1.29565,1.12379,1.67116,0.90879,0.63158,0.78419,0.47513,1.65027,1.33745,2.12311,0.0011684,0.0011684,0.0011684
128,1886.25,1.44293,1.23266,1.74239,0.90262,0.63158,0.79692,0.50211,1.47795,1.2781,2.02521,0.0011618,0.0011618,0.0011618
129,1896.16,1.49372,1.37894,1.86376,0.90262,0.63158,0.79692,0.50211,1.47795,1.2781,2.02521,0.0011552,0.0011552,0.0011552
130,1906.88,1.35029,1.15737,1.7691,0.87341,0.72678,0.8491,0.56135,1.335,1.19735,2.01281,0.0011486,0.0011486,0.0011486
131,1917.4,1.30043,1.15904,1.6685,0.78771,0.78155,0.78475,0.44576,1.53871,1.29032,2.14226,0.001142,0.001142,0.001142
132,1927.28,1.39201,1.22695,1.86359,0.6571,0.78947,0.70343,0.40298,1.52069,1.38902,2.12966,0.0011354,0.0011354,0.0011354
133,1937.4,1.33267,1.15997,1.69066,0.6571,0.78947,0.70343,0.40298,1.52069,1.38902,2.12966,0.0011288,0.0011288,0.0011288
134,1947.4,1.41054,1.21373,1.7433,0.63681,0.78947,0.70269,0.43481,1.43006,1.44938,2.0127,0.0011222,0.0011222,0.0011222
135,1956.97,1.28946,1.14596,1.61805,0.7206,0.67897,0.7466,0.4943,1.36984,1.4292,1.94859,0.0011156,0.0011156,0.0011156
136,1967.06,1.34454,1.10665,1.66417,0.75145,0.73684,0.81066,0.52823,1.28481,1.34162,1.92218,0.001109,0.001109,0.001109
137,1976.45,1.28121,1.07101,1.68976,0.75145,0.73684,0.81066,0.52823,1.28481,1.34162,1.92218,0.0011024,0.0011024,0.0011024
138,1986.04,1.25343,1.0995,1.67173,0.7917,0.73684,0.82092,0.56153,1.27035,1.26227,1.93347,0.0010958,0.0010958,0.0010958
139,1995.46,1.212,1.10502,1.62933,0.72949,0.73684,0.7813,0.50352,1.40352,1.28807,1.9647,0.0010892,0.0010892,0.0010892
140,2005.16,1.19123,1.11387,1.62066,0.50531,0.86055,0.60288,0.3601,1.6052,1.45588,2.03212,0.0010826,0.0010826,0.0010826
141,2014.69,1.3303,1.05991,1.54299,0.50531,0.86055,0.60288,0.3601,1.6052,1.45588,2.03212,0.001076,0.001076,0.001076
142,2024.25,1.22286,1.15105,1.63345,0.5279,0.73684,0.54579,0.34144,1.57844,1.5077,2.03843,0.0010694,0.0010694,0.0010694
143,2033.98,1.29152,1.09743,1.58276,0.57446,0.73684,0.63245,0.37375,1.49318,1.5618,2.1047,0.0010628,0.0010628,0.0010628
144,2043.44,1.20248,1.05027,1.55553,0.41123,0.63158,0.536,0.34763,1.44299,1.67094,2.1174,0.0010562,0.0010562,0.0010562
145,2053.04,1.26509,1.14126,1.63587,0.41123,0.63158,0.536,0.34763,1.44299,1.67094,2.1174,0.0010496,0.0010496,0.0010496
146,2062.59,1.25153,1.03665,1.65622,0.33922,0.63158,0.46556,0.29377,1.50735,1.86944,2.1331,0.001043,0.001043,0.001043
147,2072.95,1.29404,1.15288,1.68283,0.38923,0.52632,0.41292,0.23997,1.53199,1.91699,2.14361,0.0010364,0.0010364,0.0010364
148,2084.21,1.24933,1.12724,1.65059,0.40473,0.63158,0.51887,0.34061,1.39711,1.72387,2.01176,0.0010298,0.0010298,0.0010298
